TYPE-COLLATERAL,COLLATERAL,PARTY,DOC-ID,DRDATE,PROCESSING-DATE,CORR-DATE,CORR-ID,SERIAL-ID,DOC-TYPE,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933939,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933937,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933935,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933935,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933937,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933927,20250605,20250605,20250606,C,25659                         ,REL,
2,RRDEU BR700-725A1-12 25659           ,                                                  ,ARE016933935,20250605,20250605,        , ,25659                         ,S/A,
2,RRDEU BR700-725A1-12 25790           ,                                                  ,ARE016951031,20250529,20250529,20250616,C,25790                         ,REL,
2,RRDEU BR700-725A1-12 25791           ,                                                  ,ARE016951031,20250529,20250529,20250616,C,25791                         ,REL,
2,RRDEU BR700-730B2-14 32163           ,                                                  ,ARE016954053,20250613,20250613,        , ,32163                         ,S/A,
2,RRDEU BR700-730B2-14 32163           ,                                                  ,ARE016954053,20250613,20250613,        , ,32163                         ,S/A,
2,RRDEU BR700-730B2-14 32164           ,                                                  ,ARE016954053,20250613,20250613,        , ,32164                         ,S/A,
2,RRDEU BR700-730B2-14 32164           ,                                                  ,ARE016954053,20250613,20250613,        , ,32164                         ,S/A,
2,RRDEU BR725A1-12 25536               ,                                                  ,ARE016927831,20250603,20250603,        , ,25536                         ,DIS,
2,RRDEU BR725A1-12 25536               ,                                                  ,ARE016927830,20250603,20250603,        , ,25536                         ,REL,
2,RRDEU BR725A1-12 25536               ,                                                  ,ARE016927830,20250603,20250603,        , ,25536                         ,REL,
2,RRDEU BR725A1-12 25536               ,                                                  ,ARE016927831,20250603,20250603,        , ,25536                         ,DIS,
2,RRDEU BR725A1-12 25537               ,                                                  ,ARE016927831,20250603,20250603,        , ,25537                         ,DIS,
2,RRDEU BR725A1-12 25537               ,                                                  ,ARE016927830,20250603,20250603,        , ,25537                         ,REL,
2,RRDEU BR725A1-12 25537               ,                                                  ,ARE016927830,20250603,20250603,        , ,25537                         ,REL,
2,RRDEU BR725A1-12 25537               ,                                                  ,ARE016927831,20250603,20250603,        , ,25537                         ,DIS,
2,RRDEU RB211-535E4B 31112             ,                                                  ,ARE016933425,20250516,20250603,20250603,A,31112                         ,S/A,
2,RRDEU RB211-535E4B 31112             ,                                                  ,ARE016933425,20250516,20250603,20250603,A,31112                         ,S/A,
2,RRDEU RB211-535E4B 31112             ,                                                  ,ARE016933425,20250516,20250603,20250603,A,31112                         ,S/A,
